FullTime;Operation Mode;System Status;Flow [m³/h] W1-BF1;Flow [m³/h] W3-BF1 OR HW VFD Speed [Hz];Inlet Pressure [Bar];Outlet Pressure [Bar];Diff. Pressure [Bar];Uv Unit Temperature [°C];Uv-I Sensor [W/m²];Total Lamp Pwr [kW];Calculated [m³];ByPass;Alarm;Flow Limit;Allowed Flow [m³]
03-02-2023 00:02;System Idle;system Idle;0;0;3,8;3,79;0,01;28,1;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 00:07;System Idle;system Idle;0;0;3,8;3,79;0,01;28,1;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 00:12;System Idle;system Idle;0;0;3,8;3,79;0,01;28,1;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 00:17;System Idle;system Idle;0;0;3,8;3,79;0,01;28,1;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 00:22;System Idle;system Idle;0;0;3,8;3,79;0,01;28,1;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 00:27;System Idle;system Idle;0;0;3,8;3,79;0,01;28;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 00:32;System Idle;system Idle;0;0;3,8;3,79;0,01;28;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 00:37;System Idle;system Idle;0;0;3,8;3,79;0,01;28;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 00:42;System Idle;system Idle;0;0;3,8;3,79;0,01;28;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 00:47;System Idle;system Idle;0;0;3,8;3,79;0,01;28;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 00:52;System Idle;system Idle;0;0;3,8;3,79;0,01;28;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 00:57;System Idle;system Idle;0;0;3,8;3,79;0,01;28;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 01:02;System Idle;system Idle;0;0;3,8;3,79;0,01;28;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 01:07;System Idle;system Idle;0;0;3,8;3,79;0,01;28;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 01:12;System Idle;system Idle;0;0;3,8;3,79;0,01;28;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 01:17;System Idle;system Idle;0;0;3,8;3,79;0,01;28;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 01:22;System Idle;system Idle;0;0;3,8;3,79;0,01;28;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 01:27;System Idle;system Idle;0;0;3,8;3,79;0,01;28;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 01:32;System Idle;system Idle;0;0;3,8;3,8;0,01;28;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 01:37;System Idle;system Idle;0;0;3,8;3,79;0,01;28;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 01:42;System Idle;system Idle;0;0;3,8;3,79;0,01;28;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 01:47;System Idle;system Idle;0;0;3,8;3,79;0,01;28;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 01:52;System Idle;system Idle;0;0;3,8;3,79;0,01;28;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 01:57;System Idle;system Idle;0;0;3,8;3,79;0,01;28;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 02:02;System Idle;system Idle;0;0;3,8;3,79;0,01;28;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 02:07;System Idle;system Idle;0;0;3,8;3,8;0,01;28;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 02:12;System Idle;system Idle;0;0;3,8;3,8;0;28;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 02:17;System Idle;system Idle;0;0;3,8;3,8;0,01;28;1;0;70,6;System In Line;System Ok;500;35
03-02-2023 02:22;System Idle;system Idle;0;0;3,81;3,8;0,01;28;1;0;70,6;System In Line;System Ok;500;35
